City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,rabo de peixe,37.8,-25.5833,67.51,77,20,12.66,PT,1685710856
295,fraserburgh,57.6874,-2.0184,62.44,71,7,10.63,GB,1685710856
296,vila franca do campo,37.7167,-25.4333,68.41,65,14,7.76,PT,1685710857
297,alik ghund,30.4896,67.5226,78.13,9,0,13.6,PK,1685710857
298,nova vicosa,-17.8919,-39.3719,74.37,82,100,6.69,BR,1685710857
299,laguna,38.421,-121.4238,57.45,82,0,5.75,US,1685710857
300,okha,53.5739,142.9478,35.11,94,100,5.95,RU,1685710858
301,lincoln city,44.9582,-124.0179,47.84,90,7,9.35,US,1685710858
302,newman,37.3138,-121.0208,54.28,85,0,3.0,US,1685710858
303,maraba,-5.3686,-49.1178,84.38,74,0,2.3,BR,1685710855
304,taro,-8.3862,115.28,73.4,96,100,4.14,ID,1685710858
305,jaisalmer,26.9147,70.9181,99.88,28,63,5.21,IN,1685710859
306,mejit,10.2753,170.8646,81.79,81,100,13.24,MH,1685710859
307,palangkaraya,-2.2,113.8333,80.65,79,100,2.91,ID,1685710859
308,byron bay,-28.65,153.6167,56.71,83,17,4.52,AU,1685710638
309,adani,6.7397,7.0112,91.8,54,87,4.32,NG,1685710859
310,tukzar,35.9483,66.4213,84.47,8,10,14.36,AF,1685710859
311,tromso,69.6496,18.957,44.62,65,75,5.75,NO,1685710860
312,aykhal,66.0,111.5,57.52,61,100,10.67,RU,1685710860
313,xining,36.6167,101.7667,49.46,79,100,3.42,CN,1685710860
314,bhuban,20.8833,85.8333,96.22,40,90,15.01,IN,1685710860
315,ulsteinvik,62.3432,5.8487,50.9,91,100,3.0,NO,1685710860
316,tostado,-29.232,-61.7692,68.99,70,100,5.99,AR,1685710861
317,qorveh,35.1664,47.8045,73.13,28,6,20.15,IR,1685710861
318,mount isa,-20.7333,139.5,64.17,59,100,4.61,AU,1685710861
319,port saint john's,-31.6229,29.5448,73.94,44,4,2.55,ZA,1685710862
320,kavaratti,10.5669,72.642,85.55,72,57,10.42,IN,1685710863
321,muncar,-8.4333,114.3333,76.77,89,100,8.55,ID,1685710864
322,ancud,-41.8697,-73.8203,51.53,81,100,26.08,CL,1685710848
323,gardendale,33.6601,-86.8128,74.89,97,7,3.2,US,1685710866
324,pali,25.7667,73.3333,99.3,30,6,9.75,IN,1685710866
325,marabba,12.35,32.1833,92.1,40,93,13.65,SD,1685710866
326,flying fish cove,-10.4217,105.6791,78.48,88,100,12.66,CX,1685710867
327,rawson,-43.3002,-65.1023,56.64,38,0,21.07,AR,1685710867
